sample,elapsed_s,mark,calibratorCalibrated,ikCalibrated,trackingAssigned,mappingCalibrated,simulatedInput,dataSource,leftAvailable,rightAvailable,leftFallback,rightFallback,leftValgus_deg,rightValgus_deg,leftFlex_deg,rightFlex_deg,swayRMS_mm,swayVelocity_mps,symmetry_pct,leftReach_pct,rightReach_pct,pelvis_x,pelvis_y,pelvis_z,leftKnee_x,leftKnee_y,leftKnee_z,rightKnee_x,rightKnee_y,rightKnee_z,leftAnkle_x,leftAnkle_y,leftAnkle_z,rightAnkle_x,rightAnkle_y,rightAnkle_z
44,5.190,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.077,-0.336,6.499,6.427,1.684,0.005,1.104,0.031,0.000,1.553,0.129,1.991,1.651,-0.400,1.972,1.456,-0.400,1.973,1.651,-0.863,2.000,1.459,-0.863,1.999
45,5.290,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.077,-0.339,6.536,6.474,1.684,0.008,0.944,0.052,0.000,1.553,0.127,1.992,1.651,-0.403,1.972,1.456,-0.402,1.973,1.651,-0.866,2.000,1.459,-0.866,2.000
46,5.403,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.079,-0.327,6.543,6.500,1.765,0.007,0.663,0.008,0.000,1.553,0.126,1.992,1.651,-0.404,1.972,1.456,-0.403,1.974,1.651,-0.867,2.000,1.459,-0.867,2.000
47,5.525,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.101,-0.339,6.571,6.494,1.958,0.006,1.174,0.041,0.000,1.553,0.124,1.993,1.651,-0.405,1.973,1.456,-0.405,1.974,1.651,-0.869,2.000,1.459,-0.868,1.999
48,5.647,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.088,-0.367,6.583,6.510,2.208,0.006,1.120,0.049,0.000,1.553,0.124,1.994,1.651,-0.406,1.973,1.456,-0.406,1.974,1.651,-0.869,2.000,1.459,-0.869,1.999
49,5.758,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.086,-0.388,6.603,6.557,2.414,0.010,0.707,0.023,0.000,1.553,0.124,1.995,1.651,-0.405,1.974,1.455,-0.405,1.975,1.652,-0.868,2.000,1.459,-0.868,2.000
50,5.860,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.110,-0.386,6.621,6.562,2.592,0.010,0.901,0.054,0.000,1.553,0.125,1.996,1.651,-0.404,1.974,1.455,-0.404,1.975,1.651,-0.868,2.000,1.459,-0.867,2.000
51,5.981,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.136,-0.366,6.635,6.555,2.777,0.009,1.213,0.104,0.000,1.552,0.126,1.997,1.651,-0.403,1.974,1.455,-0.403,1.976,1.651,-0.866,2.000,1.459,-0.866,1.999
52,6.103,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.147,-0.351,6.665,6.515,2.949,0.009,2.270,0.175,0.000,1.552,0.127,1.998,1.651,-0.402,1.975,1.455,-0.402,1.976,1.652,-0.865,2.001,1.459,-0.865,1.999
53,6.204,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.143,-0.340,6.683,6.497,3.097,0.011,2.816,0.189,0.000,1.552,0.128,1.999,1.651,-0.401,1.975,1.455,-0.401,1.977,1.652,-0.865,2.001,1.459,-0.865,1.999
54,6.326,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.071,-0.334,6.658,6.465,3.237,0.004,2.943,0.185,0.000,1.553,0.128,1.999,1.652,-0.401,1.976,1.456,-0.401,1.977,1.652,-0.865,2.001,1.459,-0.865,1.999
55,6.438,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.020,-0.367,6.669,6.477,3.325,0.003,2.921,0.189,0.000,1.554,0.128,1.999,1.652,-0.401,1.976,1.456,-0.401,1.977,1.652,-0.865,2.001,1.460,-0.865,1.999
56,6.538,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.020,-0.386,6.677,6.494,3.408,0.004,2.784,0.166,0.000,1.554,0.127,2.000,1.652,-0.402,1.976,1.456,-0.402,1.977,1.653,-0.865,2.001,1.460,-0.865,2.000
57,6.660,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,0.000,-0.361,6.682,6.509,3.449,0.008,2.633,0.155,0.000,1.553,0.128,1.999,1.652,-0.402,1.976,1.456,-0.401,1.978,1.653,-0.865,2.001,1.460,-0.865,2.000
58,6.760,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.086,-0.323,6.716,6.507,3.397,0.007,3.164,0.189,0.000,1.552,0.128,1.999,1.651,-0.401,1.976,1.456,-0.401,1.977,1.652,-0.864,2.002,1.460,-0.864,2.000
59,6.861,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.138,-0.256,6.710,6.525,3.279,0.008,2.796,0.097,0.000,1.551,0.129,1.999,1.651,-0.401,1.976,1.455,-0.400,1.977,1.652,-0.864,2.001,1.459,-0.864,2.001
60,6.963,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.140,-0.236,6.694,6.505,3.120,0.012,2.868,0.064,0.000,1.551,0.129,1.998,1.651,-0.400,1.975,1.455,-0.400,1.977,1.652,-0.863,2.001,1.459,-0.863,2.000
